character,position,baxter,emc
㡓,見合一魂平,kwon,qwən
㡔,明一東入,muwk,m̙uk
㡔,明一模平,mu,m̙o
㡔,明三C虞去,mjuH,mɨ̯oh
㡗,定開四齊平,dej,d̙ej
㡗,曉開四齊平,xej,χej
㡘,來開三鹽平,ljem,ljem
㡙,幫四齊平,pej,p̙ej
㡜,心合三仙入,sjwet,sjwet
㡜,心開三仙入,sjet,sjet
㡜,生開三祭去,srjejH,ʂɨ̯ejh
㡝,並三C鍾去,bjowngH,bɨ̯oŋh
㡟,清開一豪平,tshaw,t̙s̙ʰəw
㡟,精開一豪平,tsaw,t̙s̙əw
㡥,影開三C殷去,'j+nH,ʔɨnh
㡧,知開二庚去,traengH,ʈaˤŋh
㡨,清開三鹽平,tshjem,tsʰjem
㡨,精開三鹽平,tsjem,tsjem
㡯,澄開二庚入,draek,ɖaˤk
㡲,匣合二刪平,hwaen,ʁwaˤn
㡷,幫一魂上,pwonX,p̙wənʔ
㡹,清開三支去,tshjeH,tsʰieh
㡺,端開一寒去,tanH,t̙ɑnh
㡼,以開三脂去,yijH,jih
㡿,昌開三清入,tsyhek,tɕʰak
㢀,清開三支去,tshjeH,tsʰieh
㢁,昌開三支上,tsyheX,tɕʰieʔ
㢂,疑開三C嚴上,ngjaemX,ŋɨ̯əmʔ
㢅,來一東去,luwngH,l̙uŋh
㢈,定合一灰平,dwoj,d̙wəj
㢊,影開二佳上,'eaX,ʔ̙eˤʔ
㢋,昌開三支上,tsyheX,tɕʰieʔ
㢏,定一侯平,duw,d̙u
㢒,崇開二麻平,dzrae,dʐaˤ
㢓,章開三陽去,tsyangH,tɕɑŋh
㢔,精一東上,tsuwngX,t̙s̙uŋʔ
㢖,滂一寒平,phan,p̙ʰɑn
㢗,溪開三B宵去,khjewH,kʰɨ̯ewh
㢚,來一模上,luX,l̙oʔ
㢚,來一模平,lu,l̙o
㢝,心一模平,su,s̙o
㢟,徹開三仙上,trhjenX,ʈʰjenʔ
㢟,徹開三仙平,trhjen,ʈʰjen
