character,position,baxter,emc,lmc,nw,nw_late
𢜩,溪開三B鹽平,khjem,kʰɨ̯em,kʰɨɛm,kʰɨɛm,kʰɨɛm
𢜫,心開三清上,sjengX,sjaŋʔ,sjɛŋX,sjɛĩX,sjɛĩX
𢜬,定開一唐入,dak,d̙ɑk,dɑk,d̥ɦɑɣ,tʰɔɣ
𢜭,見開三B庚入,kjaek,kɨ̯ak,kɨɛk,kɨɛɣ,kɨɣ
𢜭,羣開三B庚入,gjaek,ɡɨ̯ak,ɡɨɛk,ɡ̊ɦɨɛɣ,kʰɨɣ
𢜮,明一模上,muX,m̙oʔ,muX,mbuX,mbuX
𢜮,明三C虞上,mjuX,mɨ̯oʔ,ɱuX,ʋuX,ʋuX
𢜮,明三C虞平,mju,mɨ̯o,ɱu,ʋu,ʋu
𢜰,影開三A鹽去,'jiemH,ʔjemh,ʔjɛmH,ʔjɛmH,ʔjɛmH
𢜰,影開三B鹽去,'jemH,ʔɨ̯emh,ʔɨɛmH,ʔɨɛmH,ʔɨɛmH
𢜳,昌開三祭去,tsyhejH,tɕʰejh,tɕʰɛjH,tɕʰɛjH,tɕʰiH
𢜽,羣合三A脂上,gjwijX,ɡjwiʔ,ɡjwiH,ɡ̊ɦjwiH,kʰjwiH
𢜽,羣合三A脂平,gjwij,ɡjwi,ɡjwi,ɡ̊ɦjwi,kʰjwi
𢝁,曉合二耕平,xweang,χweˤŋ,χwʕɛŋ,χwʕɛĩ,χwʕɛĩ
𢝆,澄三鍾上,drjowngX,ɖjoŋʔ,ɖɨuŋH,ɖ̥ɦɨuŋH,ʈʰɨuŋH
𢝇,曉合二庚入,xwaek,χwaˤk,χwʕɛk,χwʕɛɣ,χwʕɛɣ
𢝰,精一東上,tsuwngX,t̙s̙uŋʔ,tsuŋX,tsuŋX,tsuŋX
𢝹,透開四齊去,thejH,t̙ʰejh,tʰjɛjH,tʰjɛjH,tʰjiH
𢞎,並二佳上,beaX,b̙eˤʔ,bʕajH,b̥ɦʕajH,pʰʕajH
𢞎,並二皆去,beajH,b̙eˤjh,bʕajH,b̥ɦʕajH,pʰʕajH
𢞏,溪三C東平,khjuwng,kʰɨ̯uŋ,kʰɨuŋ,kʰɨuŋ,kʰɨuŋ
𢞐,匣開一泰去,hajH,ʁɑjh,ʁɑjH,ʁ̥ɦɑjH,χɑjH
𢞒,透開四青入,thek,t̙ʰek,tʰjɛk,tʰjɛɣ,tʰjɨɣ
𢞒,溪開四青入,khek,qʰek,kʰjɛk,kʰjɛɣ,kʰjɨɣ
𢞗,滂三A脂平,phjij,pʰji,pʰji,pʰji,pʰji
𢞝,心開一咍去,sojH,s̙əjh,sɑjH,sɑjH,sɑjH
𢞡,曉二江上,xaewngX,χoˤŋʔ,χʕawŋX,χʕɔũX,χʕɔũX
𢞣,書三東入,syuwk,ɕuk,ɕuk,ɕuɣ,ɕuɣ
𢞦,並三C虞平,bju,bɨ̯o,bvu,v̥ɦu,fu
𢟢,來開三支平,lje,lie,lɨi,lɨi,lɨi
𢟤,來開三之去,liH,ljɨh,lɨiH,lɨiH,lɨiH
𢟤,來開三之平,li,ljɨ,lɨi,lɨi,lɨi
𢟪,影開一咍去,'ojH,ʔ̙əjh,ʔɑjH,ʔɑjH,ʔɑjH
𢟪,曉開三C微去,xj+jH,xɨjh,xɨiH,xɨiH,xɨiH
𢟮,明一寒上,manX,m̙ɑnʔ,mɑnX,mbɑnX,mbɑnX
𢟰,疑開二皆去,ngeajH,ɴeˤjh,ɴʕajH,ɴɢʕajH,ɴɢʕajH
𢠜,並一魂入,bwot,b̙wət,bət,b̥ɦər,pʰər
𢠳,滂四先入,phet,p̙ʰet,pʰjɛt,pʰjɛr,pʰjɛr
𢠵,昌開三陽上,tsyhangX,tɕʰɑŋʔ,tɕʰɑŋX,tɕʰɔũX,tɕʰɔũX
𢠶,匣合二刪去,hwaenH,ʁwaˤnh,ʁwʕanH,ʁ̥ɦwʕanH,χwʕanH
𢠽,定開一唐上,dangX,d̙ɑŋʔ,dɑŋH,d̥ɦɔũH,tʰɔũH
𢡍,見開二耕入,keak,qeˤk,qʕɛk,qʕɛɣ,qʕɛɣ
𢡹,常三鍾上,dzyowngX,dʑoŋʔ,ʑuŋH,ʑ̊ɦuŋH,ɕuŋH
𢢗,澄二江入,draewk,ɖoˤk,ɖʕawk,ɖ̥ɦʕawɣ,ʈʰʕɔɣ
𢢜,疑開三C嚴入,ngjaep,ŋɨ̯əp,ŋɨɛp,ŋɡɨɛβ,ŋɡɨɛβ
𢢝,心合三脂去,swijH,sjwih,sjwiH,suH,suH
𢢞,溪開四齊去,khejH,qʰejh,kʰjɛjH,kʰjɛjH,kʰjiH
𢣏,影開一泰去,'ajH,ʔ̙ɑjh,ʔɑjH,ʔɑjH,ʔɑjH
𢣐,滂三A真平,phjin,pʰjin,pʰjin,pʰjin,pʰjin
𢣒,匣合一魂平,hwon,ʁwən,ʁwən,ʁ̥ɦwən,χwən
𢣔,明三A仙平,mjien,mjen,mjɛn,mbjɛn,mbjɛn
𢣘,以合三脂去,ywijH,jwih,jwiH,jwiH,jwiH
𢣙,影合四青去,'wengH,ʔ̙weŋh,ʔjwɛŋH,ʔjwɛĩH,ʔjwɛĩH
𢣻,來開三魚平,ljo,ljə,lɨ,lɨu,lɨu
𢤁,心開一豪去,sawH,s̙əwh,sɑwH,sɑwH,sɑwH
𢤂,來開三脂平,lij,li,lɨi,lɨi,lɨi
𢤄,心一東平,suwng,s̙uŋ,suŋ,suŋ,suŋ
𢤆,來開三祭去,ljejH,ljejh,lɨɛjH,lɨɛjH,lɨiH
𢤇,泥開四齊去,nejH,n̙ejh,njɛjH,ndjɛjH,ndjiH
𢤋,曉開三C蒸入,xik,xɨk,xɨk,xɨɣ,xɨɣ
𢤤,澄二江去,draewngH,ɖoˤŋh,ɖʕawŋH,ɖ̥ɦʕɔũH,ʈʰʕɔũH
𢤦,端一東上,tuwngX,t̙uŋʔ,tuŋX,tuŋX,tuŋX
𢤬,並三C文上,bjunX,bɨ̯unʔ,bvunH,v̥ɦunH,funH
𢤱,來一東上,luwngX,l̙uŋʔ,luŋX,luŋX,luŋX
𢥎,精開四齊平,tsej,t̙s̙ej,tsjɛj,tsjɛj,tsji
𢥗,來開三支平,lje,lie,lɨi,lɨi,lɨi
𢥘,匣合四齊平,hwej,ʁwej,ɣjwɛj,ɣ̊ɦjwɛj,xjwi
𢥛,心開一登入,sok,s̙ək,sək,səɣ,səɣ
𢥞,定一冬平,downg,d̙oŋ,duŋ,d̥ɦuŋ,tʰuŋ
𢥠,生二江平,sraewng,ʂoˤŋ,ʂʕawŋ,ʂʕɔũ,ʂʕɔũ
𢦅,曉一東上,xuwngX,χuŋʔ,χuŋX,χuŋX,χuŋX
